emp_code,expected_ptkp,status,history_values
"H0534","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":7}]"
"H0543","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":4}]"
"H0549","TK/0","VERIFIED","[{""ptkp_pajak"":""TK/0"",""cnt"":6}]"
"J0093","K/1","VERIFIED","[{""ptkp_pajak"":""K/1"",""cnt"":4}]"
"J0220","TK/0","VERIFIED","[{""ptkp_pajak"":""TK/0"",""cnt"":4}]"
"J0324","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":4}]"
"J0407","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":4}]"
"J0539","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":4}]"
"J0548","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":4}]"
"J0769","K/3","VERIFIED","[{""ptkp_pajak"":""K/3"",""cnt"":4}]"
"J0798","TK/0","VERIFIED","[{""ptkp_pajak"":""TK/0"",""cnt"":7}]"
